order_id,customer_id,order_date,product_id,product_name,gross_revenue,discount,refund,utm_source,country
ord-1001,cust-001,2024-01-03,prod-tee-01,Core Tee,45,0,0,google,US
ord-1002,cust-002,2024-01-04,prod-hood-02,Cloud Hoodie,89,10,0,meta,CA
ord-1003,cust-003,2024-01-08,prod-cap-03,Everyday Cap,29,0,0,organic,US
ord-1004,cust-001,2024-02-01,prod-bag-04,Utility Tote,55,5,0,email,US
ord-1005,cust-004,2024-02-03,prod-tee-01,Core Tee,45,0,0,tiktok,UK
ord-1006,cust-005,2024-02-05,prod-bottle-05,Hydro Bottle,38,0,0,google,AU
ord-1007,cust-002,2024-02-11,prod-sock-06,Performance Socks,22,2,0,meta,CA
ord-1008,cust-006,2024-02-13,prod-hood-02,Cloud Hoodie,89,0,0,affiliate,US
ord-1009,cust-007,2024-02-17,prod-tee-01,Core Tee,45,5,0,google,US
ord-1010,cust-008,2024-02-20,prod-cap-03,Everyday Cap,29,0,0,organic,DE
ord-1011,cust-009,2024-03-02,prod-bag-04,Utility Tote,55,0,0,email,US
ord-1012,cust-003,2024-03-06,prod-sock-06,Performance Socks,22,0,0,organic,US
ord-1013,cust-010,2024-03-09,prod-hood-02,Cloud Hoodie,89,15,0,meta,GB
ord-1014,cust-011,2024-03-11,prod-bottle-05,Hydro Bottle,38,0,0,google,US
ord-1015,cust-012,2024-03-14,prod-tee-01,Core Tee,45,0,0,reddit,US
ord-1016,cust-006,2024-03-18,prod-cap-03,Everyday Cap,29,0,8,affiliate,US
ord-1017,cust-004,2024-03-19,prod-bag-04,Utility Tote,55,0,0,tiktok,UK
ord-1018,cust-013,2024-03-22,prod-hood-02,Cloud Hoodie,89,9,0,google,CA
ord-1019,cust-014,2024-03-25,prod-bottle-05,Hydro Bottle,38,0,0,organic,US
ord-1020,cust-015,2024-03-28,prod-tee-01,Core Tee,45,0,0,email,NZ
